conference,title,writer,year,citations,url,paper ID,snippet
Meeting of the Association for Computational Linguistics (ACL),Copyright_and_Piracy:_An_interdisciplinary_critique,"L Bently, J Davis, JC Ginsburg - 2010 - books.google.com",2010,40,https://books.google.co.jp/books?hl=ja&lr=lang_ja|lang_en&id=IqWoTkiveVEC&oi=fnd&pg=PR5&ots=iagG8TvkxM&sig=tPjVgYs4nc-iA8co9Qb9SkaHCYk,6065862804265903581,"An understanding of the Changing nature of the law and practice of copyright infringement is a task too big for lawyers alone; it requires additional inputs from economists, historians, technologists, sociologists, cultural theorsts and criminologists. Where is the boundary to be …"
Meeting of the Association for Computational Linguistics (ACL),Determining_and_characterizing_the_reused_text_for_plagiarism_detection,"F Sánchez-Vega, E Villatoro-Tello…",2013,39,https://www.sciencedirect.com/science/article/pii/S0957417412010755,10224502025831460001,An important task in plagiarism detection is determining and measuring similar text portions between a given pair of documents. One of the main difficulties of this task resides on the fact that reused text is commonly modified with the aim of covering or camouflaging the …
Meeting of the Association for Computational Linguistics (ACL),Unsupervised_Anomaly_Detection.,"D Guthrie, L Guthrie, B Allison, Y Wilks",2007,39,https://www.aaai.org/Papers/IJCAI/2007/IJCAI07-262.pdf,1080766005744178479,"This paper describes work on the detection of anomalous material in text. We show several variants of an automatic technique for identifying an'unusual'segment within a document, and consider texts which are unusual because of author, genre [Biber, 1998], topic or …"
Meeting of the Association for Computational Linguistics (ACL),Efficient_corpus_development_for_lexicography:_building_the_New_Corpus_for_Ireland,"A Kilgarriff, M Rundell, EU Dhonnchadha",2006,38,https://link.springer.com/article/10.1007/s10579-006-9011-7,4966203207311269482,"In a 12-month project we have developed a new, register-diverse, 55-million-word bilingual corpus—the New Corpus for Ireland (NCI)—to support the creation of a new English-to-Irish dictionary. The paper describes the strategies we employed, and the solutions to problems …"
Meeting of the Association for Computational Linguistics (ACL),Collating_texts_using_progressive_multiple_alignment,"M Spencer, C Howe",2004,37,https://link.springer.com/article/10.1007/s10579-004-8682-1,11581277373753503616,"To reconstruct a stemma or do any other kind of statistical analysis of a text tradition, one needs accurate data on the variants occurring at each location in each witness. These data are usually obtained from computer collation programs. Existing programs either collate …"
Meeting of the Association for Computational Linguistics (ACL),Unsupervised_detection_of_anomalous_text,D Guthrie - 2008 - Citeseer,2008,37,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.396.6322&rep=rep1&type=pdf,8287152164126989996,"This thesis describes work on the detection of anomalous material in text without the use of training data. We use the term anomalous to refer to text that is irregular, or deviates significantly from its surrounding context. In this thesis we show that identifying such …"
Meeting of the Association for Computational Linguistics (ACL),Construction_of_a_Russian_paraphrase_corpus:_unsupervised_paraphrase_extraction,"E Pronoza, E Yagunova, A Pronoza",2015,31,https://link.springer.com/chapter/10.1007/978-3-319-41718-9_8,5402886420850076658,"This paper presents a crowdsourcing project on the creation of a publicly available corpus of sentential paraphrases for Russian. Collected from the news headlines, such corpus could be applied for information extraction and text summarization. We collect news headlines …"
Meeting of the Association for Computational Linguistics (ACL),Is_this_a_paraphrase?_What_kind?_Paraphrase_boundaries_and_typology,"M Vila, MA Martí, H Rodríguez",2014,33,https://www.scirp.org/html/16-1640202_43894.htm,13655597370642666903,A precise and commonly accepted definition of paraphrasing does not exist. This is one of the reasons that have prevented computational linguistics from a real success when dealing with this phenomenon in its systems and applications. With the aim of helping to overcome …
Meeting of the Association for Computational Linguistics (ACL),User-sensitive_text_summarization:_Application_to_the_medical_domain,N Elhadad - 2006 - cs.columbia.edu,2006,27,https://www.cs.columbia.edu/nlp/theses/noemie_elhadad.pdf,15995169175594509784,"In this thesis, we present a user-sensitive approach to text summarization. One domain which would highly benefit from tailoring summaries to both individual and class-based user characteristics is the medical domain, where physicians and patients access similar …"
Meeting of the Association for Computational Linguistics (ACL),Visualizations_for_text_re-use,"S Jänicke, A Geßner, M Büchler…",2014,29,https://ieeexplore.ieee.org/abstract/document/7294398/,6870694250113979795,"In this paper, we present various visualizations for the Text Re-use found between texts of a collection to support humanists in answering a broad palette of research questions. When juxtaposing all texts of a corpus in the form of tuples, we propose the Text Re-use Grid as a …"
Meeting of the Association for Computational Linguistics (ACL),Monolingual_text_similarity_measures:_A_comparison_of_models_over_wikipedia_articles_revisions,"A Barrón-Cedeno, A Eiselt, P Rosso",2009,27,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.303.271&rep=rep1&type=pdf,2300443950254400030,"Measuring the similarity of texts is a common task in detection of co-derivatives, plagiarism and information flow. In general the objective is to locate those fragments of a document that are derived from another text. We have carried out an exhaustive comparison of similarity …"
Meeting of the Association for Computational Linguistics (ACL),On_the_ownership_of_text,Y Wilks,2004,29,https://link.springer.com/article/10.1023/B:CHUM.0000031184.28781.47,10393081467349528124,"The paper explores the notions of text ownership and its partial inverse, plagiarism, and asks how close or different they are from a procedural point of view that might seek to establish either of these properties. The emphasis is on procedures rather than on the …"
Meeting of the Association for Computational Linguistics (ACL),Using_empirical_methods_for_evaluating_expression_and_content_similarity,"O Uzuner, R Davis, B Katz",2004,21,https://ieeexplore.ieee.org/abstract/document/1265276/,3751137097048146736,"Despite lack of any significant quantifiable similarities between documents, people can intuitively compare documents and evaluate their similarity. To understand how people evaluate text similarity, we queried subjects about the level of content similarity and …"
Meeting of the Association for Computational Linguistics (ACL),Technologies_for_reusing_text_from_the_web,M Potthast - 2012 - pdfs.semanticscholar.org,2012,19,https://pdfs.semanticscholar.org/f1ea/d01a67796330be5c687744f7d46d3ae19cfe.pdf,5497502807022761720,"Texts from the web can be reused individually or in large quantities. The former is called text reuse and the latter language reuse. We first present a comprehensive overview of the different ways in which text and language is reused today, and how exactly information …"
Meeting of the Association for Computational Linguistics (ACL),HITIQA:_High-quality_intelligence_through_interactive_question_answering,"S Small, T Strzalkowski",2009,19,http://search.proquest.com/openview/0d5f313e798a5af4b52777d676204924/1?pq-origsite=gscholar&cbl=30339,5905563395050594082,"We describe an interactive question answering system, HITIQA, which helps users find answers to complex analytical problems. Such problems often necessitate the user to submit not one but an entire series of questions, both simple and complex, and then to negotiate the …"
Meeting of the Association for Computational Linguistics (ACL),Detecting_text_reuse_with_modified_and_weighted_n-grams,"RMA Nawab, M Stevenson, P Clough",2012,19,https://www.aclweb.org/anthology/S12-1008.pdf,8467474685271055605,"Text reuse is common in many scenarios and documents are often based, at least in part, on existing documents. This paper reports an approach to detecting text reuse which identifies not only documents which have been reused verbatim but is also designed to identify cases …"
Meeting of the Association for Computational Linguistics (ACL),Capturing_business_power_across_the_states_with_text_reuse,"A Hertel-Fernandez, K Kashin",2015,19,https://projects.iq.harvard.edu/files/govposters/files/hertelfernandez_kashin.pdf,8913066977810167203,"• Produces and disseminates model bills and policy ideas, and more generally lowers the cost of passing business-friendly bills with research, policy, and political assistance• Model bills are a good proxy for business's policy preferences:–Weakening environmental …"
Meeting of the Association for Computational Linguistics (ACL),Folktale_classification_using_learning_to_rank,"D Nguyen, D Trieschnigg, M Theune",2013,17,https://link.springer.com/chapter/10.1007/978-3-642-36973-5_17,9930311900433841540,"We present a learning to rank approach to classify folktales, such as fairy tales and urban legends, according to their story type, a concept that is widely used by folktale researchers to organize and classify folktales. A story type represents a collection of similar stories often …"
Meeting of the Association for Computational Linguistics (ACL),COUNTER:_corpus_of_Urdu_news_text_reuse,"M Sharjeel, RMA Nawab, P Rayson",2017,23,https://link.springer.com/article/10.1007/s10579-016-9367-2,930247938597021121,Text reuse is the act of borrowing text from existing documents to create new texts. Freely available and easily accessible large online repositories are not only making reuse of text more common in society but also harder to detect. A major hindrance in the development …
